Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Brent Headrick*,3,0,6.31,25.2,27,18,18,7,10,30,4,117,6.1,1.442
Angel Perdomo*,3,2,3.72,29,21,14,12,3,11,44,3,117,3.01,1.103
Jay Jackson,3,1,2.12,29.2,18,8,7,4,9,27,1,116,4.2,0.91
Amos Willingham,0,2,6.66,24.1,35,18,18,8,9,15,1,116,7.53,1.808
Jacob deGrom,2,0,2.67,30.1,19,11,9,2,4,45,0,115,1.54,0.758
Luis Garcia,2,2,4,27,25,12,12,3,10,31,1,115,3.63,1.296
Ray Kerr*,1,1,4.33,27,25,15,13,5,9,35,1,114,4.18,1.259
Colin Selby,2,2,9,24,29,24,24,4,15,30,0,114,4.8,1.833
Andrew Bellatti,1,0,5.11,24.2,25,15,14,4,12,25,0,113,4.8,1.5
Keegan Akin*,2,2,6.85,23.2,35,22,18,2,7,27,0,112,2.96,1.775
Amir Garrett*,0,1,3.33,24.1,22,11,9,4,20,28,0,112,5.56,1.726
Slade Cecconi,0,1,4.33,27,27,13,13,4,4,20,2,111,4.37,1.148
Matt Carasiti,1,0,6.29,24.1,28,19,17,3,11,16,1,110,5.02,1.603
Brock Stewart,2,0,0.65,27.2,19,2,2,1,11,39,1,109,2.21,1.084
Jordan Balazovic,1,0,4.44,24.1,26,13,12,5,12,17,0,108,6.01,1.562
Robert Suarez,4,3,4.23,27.2,15,13,13,4,10,24,0,108,4.48,0.904
Cody Bolton,1,0,6.33,21.1,30,15,15,3,15,22,1,107,5.27,2.109
Kaleb Ort,1,2,6.26,23,27,19,16,6,9,24,1,107,5.86,1.565
Tommy Hunter,0,1,6.85,23.2,28,20,18,6,5,20,2,106,5.75,1.394
Nick Robertson,0,1,6.04,22.1,30,19,15,3,9,26,0,106,3.88,1.746
Brandon Walter*,0,0,6.26,23,32,17,16,3,7,16,1,106,4.6,1.696
Kevin Herget,1,2,5.18,24.1,26,14,14,4,6,13,2,105,5.31,1.315
Zach Plesac,1,1,7.59,21.1,37,20,18,3,5,14,0,105,4.47,1.969
AJ Smith-Shawver,1,0,4.26,25.1,17,14,12,7,11,20,1,105,6.69,1.105
Yerry De Los Santos,1,1,3.33,24.1,17,10,9,1,13,18,1,104,4.04,1.233
Tommy Doyle,0,1,6.85,23.2,23,18,18,5,13,18,0,103,6.13,1.521
Gus Varland,1,1,6.64,20.1,27,18,15,3,16,20,1,103,5.71,2.115
Tyler Mahle,1,2,3.16,25.2,22,11,9,5,5,28,0,102,4.19,1.052
Dylan Lee*,1,0,4.18,23.2,24,14,11,4,8,24,0,101,4.44,1.352
Adam Oller,1,1,10.07,19.2,29,24,22,5,12,13,1,101,7.22,2.085
Devin Smeltzer*,0,1,6.45,22.1,29,18,16,7,4,16,4,100,6.97,1.478
Duane Underwood Jr.,1,0,5.18,24.1,24,14,14,3,11,14,0,100,5.06,1.438
