Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
36,NYK,Mitchell Robinson,,5,289,7064,2376,2275,181,0.712,,0.529,24.4,8.2,7.9,0.6,31.4,0.213,2.3,7.7,2018
37,SAC,Gary Trent Jr.,Duke,5,270,7811,3900,627,393,0.421,0.384,0.827,28.9,14.4,2.3,1.5,14.1,0.087,-0.6,2.7,2018
38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1,2018
39,PHI,Isaac Bonga,,4,143,1871,439,320,118,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7,2018
40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4,2018
41,ORL,Jarred Vanderbilt,Kentucky,5,244,5013,1511,1606,359,0.573,0.288,0.643,20.5,6.2,6.6,1.5,14.3,0.137,0.4,3,2018
42,DET,Bruce Brown,Miami (FL),5,349,8588,2979,1481,841,0.482,0.341,0.749,24.6,8.5,4.2,2.4,17,0.095,-0.8,2.5,2018
43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,,2018
44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,,2018
45,BRK,Hamidou Diallo,Kentucky,5,263,4913,2270,1007,282,0.495,0.274,0.623,18.7,8.6,3.8,1.1,6.2,0.06,-2.1,-0.2,2018
46,HOU,De'Anthony Melton,USC,5,312,7003,2748,1155,857,0.414,0.37,0.771,22.4,8.8,3.7,2.7,11.9,0.082,0.7,4.6,2018
47,LAL,Svi Mykhailiuk,Kansas,5,252,4213,1673,448,351,0.403,0.36,0.764,16.7,6.6,1.8,1.4,3.3,0.038,-2.4,-0.4,2018
